location,source,target
appb.xml:2,Free Bug Trackers,Sistemas libres de xestión de bugs (Bug Trackers)
appb.xml:6,"No matter what bug tracker a project uses, some developers always like to complain about it. This seems to be more true of bug trackers than of any other standard development tool. I think it's because bug trackers are so visual and so interactive that it's easy to imagine the improvements one would make (if one only had the time), and to describe those improvements out loud. Take the inevitable complaints with a grain of salt&mdash;many of the trackers below are pretty good.","Non importa que sistema de xestión de bugs (""bug tracker"") empregue un proxecto, sempre hai desenvolvedores que teñen queixa deles. Isto é máis notorio nos sistemas de xestión de erros que en calquera outra ferramenta habitual de desenvolvemento. Na miña opinión é debido a que os ""bug trackers"" son tan visuais e interactivos que é fácil imaxinar as melloras que a un mesmo lle gustaría facer (se tiver tempo) e describir esas melloras abertamente. Acepta as inevitables queixas con filosofía,  moitos dos sistemas que van ser presentados a seguir son moi bos."
appb.xml:15,"Throughout these listings, the word ""issue"" is used to refer to the items the trackers track. But remember that each system may have its own terminology, in which the corresponding term might be ""artifact"" or ""bug"" or something else.","Ao longo das seguintes listaxes a palabra ""problema"" (""issue"" no orixinal) é empregada para referirse aos elementos que o sistema de notificación de erros rexistra. Mais recorda que cada sistema pode ter a súa propia terminoloxía sendo sinónimos ""artefacto"" ou ""erro"" (""artifact"" ou ""bug"" no orixinal) entre outros."
appb.xml:21,"<emphasis role=""bold"">Bugzilla</emphasis>&nbsp;&mdash;&nbsp;<ulink url=""http://www.bugzilla.org/""></ulink>","<emphasis role=""bold"">Bugzilla</emphasis>&nbsp;&mdash;&nbsp;<ulink url=""http://www.bugzilla.org/""></ulink>"
appb.xml:23,"Bugzilla is very popular, actively maintained, and seems to make its users pretty happy. I've been using a modified variant of it in my work for four years now, and like it. It's not highly customizable, but in a odd way, that may be one of its features: Bugzilla installations tend to look pretty much the same wherever they are found, which means many developers are already accustomed to its interface and will feel they are in familiar territory.","Bugzilla é moi popular, conta con soporte activo e seus usuarios parecen estar satifeitos. Eu traballei cunha versión modificada durante catro anos e gústame. Non é demasiado personalizable, o que en certa maneira pode considerarse unha das súas características; as instalacións de Bugzilla adoitan ser moi semellantes en todas partes, polo que moitos desenvolvedores están xa afeitos á súa interface e vanse sentir nun terreo coñecido."
appb.xml:43,"<emphasis role=""bold"">GNATS</emphasis>&nbsp;&mdash;&nbsp;<ulink url=""http://www.gnu.org/software/gnats/""></ulink>","<emphasis role=""bold"">GNATS</emphasis>&nbsp;&mdash;&nbsp;<ulink url=""http://www.gnu.org/software/gnats/""></ulink>"
appb.xml:45,"GNU GNATS is one of the oldest open source bug trackers, and is widely used. Its biggest strengths are interface diversity (it can be used not just through a web browser, but also through email or command-line tools), and plaintext issue storage. The fact that all issue data is stored in text files on disk makes it easier to write custom tools to trawl and parse the data (for example, to generate statistical reports). GNATS can also absorb emails automatically by various means, and add them to the appropriate issues based on patterns in the email headers, which makes logging user/developer conversations very easy.","GNU GNATS é un dos sistemas máis vellos de xestión de bugs e é empregado amplamente. Os seus puntos fortes son a diversidade de interfaces (pode ser usado non só mediante un navigador web, senón tamén a través do correo electrónico ou de ferramentas de liña de comandos) e a almacenaxe dos erros en texto plano. Ter todos os erros en texto plano no disco facilita a tarefa de escribir ferramentas adaptadas para puxar e parsear os datos (por exemplo, para xerar informes estatísticos). GNATS pode tamén acceder a mensaxes de correo electrónico de diversas maneiras e anexalas aos temas correspondentes en función de patróns existentes nos cabezallos das mensaxes; isto facilita en gran medida o rexistro das conversacións entre usuarios e desenvolvedores. "
appb.xml:59,"<emphasis role=""bold"">RequestTracker (RT)</emphasis>&nbsp;&mdash;&nbsp;<ulink url=""http://www.bestpractical.com/rt/""></ulink>","<emphasis role=""bold"">RequestTracker (RT)</emphasis>&nbsp;&mdash;&nbsp;<ulink url=""http://www.bestpractical.com/rt/""></ulink>"
appb.xml:61,"RT's web site says ""RT is an enterprise-grade ticketing system which enables a group of people to intelligently and efficiently manage tasks, issues, and requests submitted by a community of users,"" and that about sums it up. RT has a fairly polished web interface, and seems to have a pretty wide installed base. The interface is a bit visually complex, but that becomes less distracting as you get used to it. RT is licenced under the GNU GPL (for some reason, their web site doesn't make this clear).","A páxina web de RT di o seguinte: ""RT é un sistema de tickets de nivel profesional que permite a un grupo de persoas xerir con eficacia e habilidade tarefas, problemas e peticións enviadas por unha comunidade de usuarios"" e, resumindo, iso é o que fai. RT posúe unha interface web bastante polida e parece ter unha ampla base de instalacións. O seu aspecto visual é algo complexo, mais tórnase menos molesto cando estás afeito a empregalo. RT, está rexistrado baixo licenza GNU GPL (por algunha razón, o sitio web non aclara este punto)."
appb.xml:73,"<emphasis role=""bold"">Trac</emphasis>&nbsp;&mdash;&nbsp;<ulink url=""http://trac.edgewall.com/""></ulink>","<emphasis role=""bold"">Trac</emphasis>&nbsp;&mdash;&nbsp;<ulink url=""http://trac.edgewall.com/""></ulink>"
