comment,original,translation
ch03.xml:3,Technical Infrastructure,Infrastrutura Técnica
ch03.xml:7,"Free software projects rely on technologies that support the selective capture and integration of information. The more skilled you are at using these technologies, and at persuading others to use them, the more successful your project will be. This only becomes more true as the project grows. Good information management is what prevents open source projects from collapsing under the weight of Brooks' Law<footnote><para>From his book <citetitle>The Mythical Man Month</citetitle>, 1975. See <ulink url=""http://en.wikipedia.org/wiki/The_Mythical_Man-Month""></ulink> and <ulink url=""http://en.wikipedia.org/wiki/Brooks_Law""></ulink>.</para></footnote>, which states that adding manpower to a late software project makes it later. Fred Brooks observed that the complexity of a project increases as the <emphasis>square</emphasis> of the number of participants. When only a few people are involved, everyone can easily talk to everyone else, but when hundreds of people are involved, it is no longer possible for each person to remain constantly aware of what everyone else is doing. If good free software project management is about making everyone feel like they're all working together in the same room, the obvious question is: what happens when everyone in a crowded room tries to talk at once?","Os proxectos de software libre apóianse en tecnoloxías que facilitan a captura selectiva e a integración da información. Canto máis habilidoso sexas usando estas tecnoloxías, e persuadindo a outros a empregalas, maior éxto terá o teu proxecto. Esta afirmación só empezará a ser certa según vaia crecendo o proxecto.Unha boa xestión da información é o que evita que os proxectos de software libre sexan aplastados polo peso da Lei de Brooks<footnote><para>Do seu libro<citetitle>The Mythical Man Month</citetitle>, 1975. Véxase <ulink url=""http://en.wikipedia.org/wiki/The_Mythical_Man-Month""></ulink> e <ulink url=""http://en.wikipedia.org/wiki/Brooks_Law""></ulink>.</para></footnote>, que establece que engadir man de obra a un proxecto que vai con retraso fará que se retrase aínda máis. Fred Brooks observou que a complexidade dun proxecto crece a razón do <emphasis>cadrado</emphasis> do número de participantes. Mentres só está implicado un número reducido de persoas, cada un pode fácilmente comunicarse cós demáis; pero cando están implicadas centos de persoas, non é xa.posible que cada persoa permaneza constantemente informada do que están a facer todos os demáis. Si o segrdo dunha boa xestión dun proxecto de software libre reside en conseguir que todo o mundo sinta que está a traballar cós demáis na mesma habitación, a pregunta obvia é: que pasa cando todos os que están nunha habitación abarrotada tratan de falar ao mesmo tempo?"
ch03.xml:26,"This problem is not new. In non-metaphorical crowded rooms, the solution is <firstterm>parliamentary procedure</firstterm>: formal guidelines for how to have real-time discussions in large groups, how to make sure important dissents are not lost in floods of ""me-too"" comments, how to form subcommittees, how to recognize when decisions are made, etc. An important part of parliamentary procedure is specifying how the group interacts with its information management system. Some remarks are made ""for the record"", others are not. The record itself is subject to direct manipulation, and is understood to be not a literal transcript of what occurred, but a representation of what the group is willing to <emphasis>agree</emphasis> occurred. The record is not monolithic, but takes different forms for different purposes. It comprises the minutes of individual meetings, the complete collection of all minutes of all meetings, summaries, agendas and their annotations, committee reports, reports from correspondents not present, lists of action items, etc.","Este problema non é novo. En habitacións abarrotadas.reáis, a solución consiste en adoptar o denominado<firstterm>procedimiento parlamentario</firstterm>: un conxunto de normas formáis acerca de cómo manter discusións en tempo real no seo de grandes grupos, cómo estar seguros de que ningunha.manifestación relevante se perde entre moreas de comentarios tipo ""eu tamén"", como formar subcomités, cómo estar seguros sobre cándo se ten tomado unha decisión, etc. Unha parte importante do procedemento parlamentario consiste en determinar como interactúa o grupo có seu sistema de xestión da información. Algúns comentarios son feitos coa vontade de que fiquen rexistrados nos arquivos, outros non. O propio arquivo está suxeito á manipulación directa, e é entendido non coma unha transcripción literal do que ten ocorrido, si non como a transcripción do que o grupo pretende <emphasis>acordar</emphasis> que ocorreu. Os arquivos non son monolíticos, adoptan diferentes formas para diferentes usos. Comprenden tanto as actas de cada reunión como as coleccións completas de todas as actas de todas as reunións, resúmenes, axendas e as súas anotacións, informes de comités, informes de colaboradores non presentes nas reunións, listas de temas a tratar, etc."
ch03.xml:43,"Because the Internet is not really a room, we don't have to worry about replicating those parts of parliamentary procedure that keep some people quiet while others are speaking. But when it comes to information management techniques, well-run open source projects are parliamentary procedure on steroids. Since almost all communication in open source projects happens in writing, elaborate systems have evolved for routing and labeling data appropriately; for minimizing repetitions so as to avoid spurious divergences; for storing and retrieving data; for correcting bad or obsolete information; and for associating disparate bits of information with each other as new connections are observed. Active participants in open source projects internalize many of these techniques, and will often perform complex manual tasks to ensure that information is routed correctly. But the whole endeavor ultimately depends on sophisticated software support. As much as possible, the communications media themselves should do the routing, labeling, and recording, and should make the information available to humans in the most convenient way possible. In practice, of course, humans will still need to intervene at many points in the process, and it's important that the software make such interventions convenient too. But in general, if the humans take care to label and route information accurately on its first entry into the system, then the software should be configured to make as much use of that metadata as possible.","Como Internet non é realmente unha habitación, non temos que preocuparnos de replicar as partes do procedemento parlamentario que teñen que ver con manter a unhas persoas caladas mentres outros falan. Pero cando se trata de técnicas de xestión da información,os proxectos de software libre ben xestionados poden compararse a procedementos parlamentarios con esteroides. Dado que nos proxectos de software libre prácticamente toda a comunicación se fai por escrito, os sistemas elaborados evolucionaron para facer axeitadamente o seguimento e o etiquetado dos datos; cara á minimización das repeticións para evitar diverxencias espúreas; para o correcto almacenamento e recuperación dos datos; cara a correxir a información errónea ou obsoleta; e cara a asociación entre si de bits de datos desparellados en canto se observan novas conexións. Quen participa activamente en proxectos de software libre adoptan moitas de estas técnicas, e frecuentemente son quen de executar complexas operacións manuáis cara a garantir que a información está sendo xestionada axeitadamente. Pero o traballo completo depende en grande medida da axuda de software sofisticado. Na medida do posible son precisamente as ferramentas de comunicación as que deberían asumir as máis das tarefas de direccionamiento, etiquetado, e gravación, e deberían"
ch03.xml:68,"The advice in this chapter is intensely practical, based on experiences with specific software and usage patterns. But the point is not just to teach a particular collection of techniques. It is also to demonstrate, by means of many small examples, the overall attitude that will best encourage good information management in your project. This attitude will involve a combination of technical skills and people skills. The technical skills are essential because information management software always requires configuration, plus a certain amount of ongoing maintenance and tweaking as new needs arise (for example, see the discussion of how to handle project growth in <xref linkend=""bug-filtering""/><phrase output=""printed""> later in this chapter</phrase>). The people skills are necessary because the human community also requires maintenance: it's not always immediately obvious how to use these tools to full advantage, and in some cases projects have conflicting conventions (for example, see the discussion of setting <systemitem>Reply-to</systemitem> headers on outgoing mailing list posts, in <xref linkend=""mailing-lists""/>). Everyone involved with the project will need to be encouraged, at the right times and in the right ways, to do their part to keep the project's information well organized. The more involved the contributor, the more complex and specialized the techniques she can be expected to learn.","As recomendacións recolidas neste capítulo son intensamente prácticas, baseadas en experiencias con patróns de software específico e de uso. Pero a cuestión non é aprendervos unha colección particular de técnicas. É tamén a de demostrar, perante o uso de moitos pequenos exemplos, a actitude xeral que mellor se adecuará cara a correcta xestión da información nos vosos proxectos. Esta actitude comprende un conxunto de habilidades técnicas e habilidades persoais. As habilidades técnicas son esenciais dado que o software de xestión da información require sempre seren.correctamente configurado, ademáis de unha certa cantidade de mantenemento permanente e de modificación en canto xurde unha nova necesidade (como exemplo, bótadelle unha ollada á discusión sobre como manexar o crecemento do proxecto en <xref linkend=""filtrado de erros""/><phrase output=""printed""> máis adiante neste mesmo capítulo</phrase>). As habilidades persoais son necesarias xa que a comunidade humana tamén require de mantenemento: non sempre é inmediatamente obvio o modo de empregar estas ferramentas para obter o mellor rendemento, e nalgúns casos os proxectos adoptan convencións conflictivas (como exemplo, podes ver a discusión sobre a configuración das cabeceiras das mensaxes saíntes nas listas de correo no canto ao<systemitem>Reply-to</systemitem>). Todos os que estean implicados no proxecto precisará que, nalgún momento ou outro e da maneira correcta, se lles force a facer a súa partedo traballo para manter ben organizada a información relativa ao mesmo. Canto máis implicado estea o colaborador, máis complexas e especializadas serán as técnicas que se espera que aprenda."
ch03.xml:91,"Information management has no cut-and-dried solution. There are too many variables. You may finally get everything configured just the way you want it, and have most of the community participating, but then project growth will make some of those practices unscalable. Or project growth may stabilize, and the developer and user communities settle into a comfortable relationship with the technical infrastructure, but then someone will come along and invent a whole new information management service, and pretty soon newcomers will be asking why your project doesn't use it&mdash;for example, this is happening now to a lot of free software projects that predate the invention of the wiki (see <ulink url=""http://en.wikipedia.org/wiki/Wiki""></ulink>). Many questions are matters of judgement, involving tradeoffs between the convenience of those producing information and the convenience of those consuming it, or between the time required to configure information management software and the benefit it brings to the project.","Non existen solucións á-medida para a xestión da información. Hai demasiadas variables. Podedes ter absolutamente todo configurado damaneira que queredes telo, e coa maioría da comunidade participando xa, pero entón o crecemento do proxecto fará que non sexa posible continuar escalando una desas prácticas. Ou o crecemento do proxecto pode terse estabilizado, e as comunidades de desenvolvedores e de usuarios estar mantendo unha confortable relación coa infrastrutura técnica, pero entón alguén sepresentará con una solución de xestión da información completamente nova, e moi cedo os recén incorporados ao proxecto comezarán a preguntar porqué non se está a empregala&mdash; por exemplo, isto está a ocorrer actualmente con unha chea de proxectos de software libre anteriores á invención das wikis (véxase <ulink url=""http://en.wikipedia.org/wiki/Wiki""></ulink>). Moitas decisións dependerán de matices, xa que se resolverán perante compromisos entre os intereses de quen produce a información e os de quen a consume, ou do tempo requerido para configurar o software de xestión da información fronte aos beneficios que este poida aportar ao proxecto."
ch03.xml:108,"Beware of the temptation to over-automate, that is, to automate things that really require human attention. Technical infrastructure is important, but what makes a free software project work is care&mdash;and intelligent expression of that care&mdash;by the humans involved. The technical infrastructure is mainly about giving humans convenient ways to do that.","Protexédevos contra a tentación de hiper-automatizar, e edceir, de automatizar procesos que en realidade requiren da atención humana.  infrastrutura técnica é importante, pero o que fai que un proxecto de software libre funcione é o coidado&mdash;e a expresión intelixente dese coidado&mdash; por parte dos humanos involucrados. A infrastrutura técnca ten que ver principalmente con facilitar aos humanos formas convenientes de facelo."
ch03.xml:120,What a Project Needs,Que É o que un Proxecto Precisa
ch03.xml:122,"Most open source projects offer at least a minimum, standard set of tools for managing information:",Os máis dos proxectos de software de código aberto ofrecen cando menos un conxunto mínimo es estándar de ferramentas para a xestión da información:
ch03.xml:127,Web site,Sitio Web
